Curso,DF,DM,DEM,DEC,DEQ,DEETC,DEEEA
LEB,22.34200000000001,31.536999999999995,12.419999999999982,0.0,82.49200000000005,26.33699999999999,0.0
LEC,30.75,99.75,0.0,542.0799999999999,0.0,0.0,0.0
LEE,88.5,106.5,0.0,7.5,0.0,0.0,492.75
LEETC,44.25,94.5,0.0,0.0,20.25,507.0,0.0
LEIC,0.0,114.75,0.0,0.0,0.0,567.0,0.0
LEIM,19.5,41.25,0.0,0.0,10.5,353.25,0.0
LEIRT,0.0,27.0,0.0,0.0,6.0,129.0,4.5
LEM,116.25,151.5,709.0,0.0,15.75,0.0,0.0
LEQB,20.85799999999998,51.852999999999966,0.0,0.0,394.4910000000017,0.0,0.0
LMATE,9.0,88.5,0.0,0.0,0.0,13.5,0.0
LTGM,12.0,28.5,0.0,116.04000000000002,15.0,0.0,4.5
MEB,2.8400000000000003,0.0,4.528,0.0,23.91900000000001,25.304000000000002,0.0
MEC,0.0,0.0,0.0,152.30999999999995,3.0,0.0,0.0
MEE,6.0,0.0,0.0,0.0,0.0,0.0,152.25
MEET,6.0,1.13,0.0,0.0,0.0,120.3,0.0
MEGI,0.0,0.0,58.5,0.0,0.0,6.0,0.0
MEIC,0.0,0.38,0.0,0.0,0.0,92.6,0.0
MEIM,0.0,0.0,0.0,0.0,0.0,48.0,0.0
MEM,0.0,0.0,201.75,0.0,0.0,0.0,0.0
MEQA,0.0,3.75,0.0,0.0,58.92400000000001,0.0,1.82
MEQB,0.0,3.5,0.0,0.0,89.73199999999991,0.0,0.0
PG-CRC,0.0,0.0,0.0,13.001,0.0,0.0,0.0
PG-EGER,1.8,2.5,0.0,0.7,8.05,0.0,14.0
